Method,Accuracy,Precision,Recall,F1_Score,Average,Normal_Detect_Rate,Atk_Detect_Rate
SVM,0.9246461561133105,0.9999867445498007,0.9095874444868678,0.9526473417140741,0.9467169217160133,0.9999397142455237,0.9095874444868678
LR,0.9943163930363255,0.9999312164174273,0.9932479954986637,0.9965784013855761,0.9960185015844982,0.9996583807246348,0.9932479954986637
kNN,0.9339469083455579,0.9996379640493939,0.921069871189438,0.9587469722260571,0.9533504289526117,0.998332094126158,0.921069871189438
